Card name,Official URL ,Card Issuer,Status,,,,,,,,,,,,,,,,,,,,,,
,,issuer (enum),status,"network (enum: Visa, Mastercard, Rupay, Amex etc)",is_lifetime_free (bool),annual_fee (numeric),"fee_waiver_spend_threshold (numeric, optional)",is_upi_enabled (bool),is_cashback_primary (bool),is_rewards_points_primary (bool),has_dining_benefit (bool),has_travel_benefit (bool),has_fuel_benefit (bool),has_online_shopping_benefit (bool),has_entertainment_benefit (bool),has_groceries_benefit (bool),has_domestic_lounge (bool),has_international_lounge (bool),"co_brand_name (text, for display)","co_brand_type (enum: ecommerce, airline, hotel, food delivery etc)",cashback_generic_rate,cashback_top_category_rate,rewards_generic_multiplier,rewards_top_category_multiplier,(Available/Discontinued/Questionable) 
American Express® Corporate Platinum Card,https://www.americanexpress.com/en-in/business/corporate-card-platinum/,American Express,Active,,,,,,,,,,,,,,,,,,,,,,
American Express® Corporate Gold Card,https://www.americanexpress.com/en-in/business/corporate-card/gold-corporate-card/,American Express,Active,,,,,,,,,,,,,,,,,,,,,,
American Express® Corporate Green Card,https://www.americanexpress.com/en-in/business/corporate-card/green-corporate-card/,American Express,Active,,,,,,,,,,,,,,,,,,,,,,
Zenith+ Credit Card,https://www.au.bank.in/personal-banking/credit-cards/zenith-plus-credit-card,AU Small Finance Bank,Active,,,,,,,,,,,,,,,,,,,,,,
LIT Credit Card,https://www.au.bank.in/personal-banking/credit-cards/lit-credit-card,AU Small Finance Bank,Active,,,,,,,,,,,,,,,,,,,,,,
New AU CA Metal Credit Card,https://www.au.bank.in/personal-banking/credit-cards/ca-credit-card,AU Small Finance Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Zenith Credit Card,https://www.au.bank.in/personal-banking/credit-cards/zenith-credit-card,AU Small Finance Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Vetta Credit Card,https://www.au.bank.in/personal-banking/credit-cards/vetta-credit-card,AU Small Finance Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Altura Plus Credit Card,https://www.au.bank.in/personal-banking/credit-cards/altura-plus-credit-card,AU Small Finance Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Altura Credit Card,https://www.au.bank.in/personal-banking/credit-cards/altura-credit-card,AU Small Finance Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Xcite Ultra Credit Card,https://www.au.bank.in/personal-banking/credit-cards/swipeup-program/xcite-ultra-credit-card,AU Small Finance Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Xcite Ace Credit Card,https://www.au.bank.in/personal-banking/credit-cards/swipeup-program/xcite-ace-credit-card,AU Small Finance Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Xcite Credit Card,https://www.au.bank.in/personal-banking/credit-cards/swipeup-program/xcite-credit-card,AU Small Finance Bank,Active,,,,,,,,,,,,,,,,,,,,,,
InstaPay Credit Card,https://www.au.bank.in/personal-banking/credit-cards/instapay-credit-card,AU Small Finance Bank,Active,,,,,,,,,,,,,,,,,,,,,,
ixigo AU Credit Card,https://www.au.bank.in/personal-banking/credit-cards/ixigo-au-travel-credit-card,AU Small Finance Bank,Active,,,,,,,,,,,,,,,,,,,,,,
AU NOMO Credit Card,https://www.au.bank.in/personal-banking/credit-cards/nomo-credit-card,AU Small Finance Bank,Active,,,,,,,,,,,,,,,,,,,,,,
AU SPONT Credit Card,https://www.au.bank.in/personal-banking/credit-cards/au-spont-credit-card,AU Small Finance Bank,Active,,,,,,,,,,,,,,,,,,,,,,
ABC Nxt and Flex Credit Card,https://www.au.bank.in/personal-banking/credit-cards/abc-nxt-and-abc-flex-credit-cards,AU Small Finance Bank,Active,,,,,,,,,,,,,,,,,,,,,,
